time_ISO	occupancy	number_date_hour	day_text	hour	time_HH_MM
2026-01-18T12:37:10.428020+01:00	19	46040,52581	Ne	12	12:37
2026-01-18T12:45:37.964338+01:00	21	46040,53168	Ne	12	12:45
2026-01-18T12:53:56.762341+01:00	23	46040,53745	Ne	12	12:53
2026-01-18T13:24:15.983984+01:00	17	46040,55851	Ne	13	13:24
2026-01-18T14:05:05.042442+01:00	23	46040,58686	Ne	14	14:05
2026-01-18T14:37:21.446026+01:00	21	46040,60927	Ne	14	14:37
2026-01-18T14:49:59.672502+01:00	16	46040,61804	Ne	14	14:49
2026-01-18T14:58:10.696204+01:00	20	46040,62373	Ne	14	14:58
2026-01-18T15:21:09.433434+01:00	20	46040,63969	Ne	15	15:21
2026-01-18T15:38:39.322303+01:00	25	46040,65184	Ne	15	15:38
2026-01-18T15:48:49.259216+01:00	25	46040,6589	Ne	15	15:48
2026-01-18T15:57:42.150312+01:00	25	46040,66507	Ne	15	15:57
2026-01-18T16:21:34.834167+01:00	30	46040,68164	Ne	16	16:21
2026-01-18T16:37:57.093105+01:00	26	46040,69302	Ne	16	16:37
2026-01-18T16:48:18.474451+01:00	28	46040,70021	Ne	16	16:48
2026-01-18T16:57:11.765306+01:00	28	46040,70638	Ne	16	16:57
2026-01-18T17:25:43.567600+01:00	23	46040,72619	Ne	17	17:25
2026-01-18T17:46:15.422307+01:00	27	46040,74045	Ne	17	17:46
2026-01-18T17:56:52.785157+01:00	26	46040,74782	Ne	17	17:56
2026-01-18T18:17:13.301938+01:00	30	46040,76196	Ne	18	18:17
2026-01-18T18:35:07.383013+01:00	30	46040,77439	Ne	18	18:35
2026-01-18T18:47:11.229291+01:00	30	46040,78277	Ne	18	18:47
2026-01-18T18:55:53.122574+01:00	30	46040,78881	Ne	18	18:55
2026-01-18T19:23:52.751420+01:00	27	46040,80824	Ne	19	19:23
2026-01-18T19:47:40.748623+01:00	19	46040,82477	Ne	19	19:47
2026-01-18T19:58:06.697295+01:00	8	46040,83201	Ne	19	19:58
2026-01-18T20:18:22.048159+01:00	0	46040,84609	Ne	20	20:18
2026-01-18T20:30:16.015984+01:00	0	46040,85435	Ne	20	20:30
2026-01-18T20:41:00.992659+01:00	0	46040,86181	Ne	20	20:41
2026-01-18T20:50:01.053031+01:00	0	46040,86807	Ne	20	20:50
2026-01-18T20:58:18.550778+01:00	0	46040,87382	Ne	20	20:58
2026-01-19T08:25:21.585669+01:00	0	46041,35094	Po	8	08:25
2026-01-19T08:48:49.019779+01:00	0	46041,36723	Po	8	08:48
2026-01-19T08:59:14.558369+01:00	0	46041,37447	Po	8	08:59
2026-01-19T09:41:14.185264+01:00	13	46041,40363	Po	9	09:41
2026-01-19T10:03:43.219411+01:00	17	46041,41925	Po	10	10:03
2026-01-19T10:47:13.918540+01:00	16	46041,44946	Po	10	10:47
2026-01-19T11:02:21.093258+01:00	16	46041,45997	Po	11	11:02
2026-01-19T11:40:54.684261+01:00	16	46041,48674	Po	11	11:40
2026-01-19T11:59:29.241205+01:00	17	46041,49964	Po	11	11:59
2026-01-19T12:27:50.324194+01:00	16	46041,51933	Po	12	12:27
2026-01-19T12:44:23.354184+01:00	16	46041,53082	Po	12	12:44
2026-01-19T12:55:29.693867+01:00	13	46041,53853	Po	12	12:55
2026-01-19T13:40:50.571693+01:00	11	46041,57002	Po	13	13:40
2026-01-19T14:33:10.364743+01:00	17	46041,60637	Po	14	14:33
2026-01-19T15:01:55.118855+01:00	17	46041,62633	Po	15	15:01
2026-01-19T15:38:27.741791+01:00	13	46041,6517	Po	15	15:38
2026-01-19T15:58:44.647811+01:00	17	46041,66579	Po	15	15:58
2026-01-19T16:31:24.935754+01:00	23	46041,68847	Po	16	16:31
2026-01-19T16:52:06.401970+01:00	21	46041,70285	Po	16	16:52
2026-01-19T17:13:10.780601+01:00	18	46041,71748	Po	17	17:13
2026-01-19T17:48:43.189909+01:00	21	46041,74216	Po	17	17:48
2026-01-19T18:12:37.186925+01:00	25	46041,75876	Po	18	18:12
2026-01-19T18:39:08.034887+01:00	28	46041,77718	Po	18	18:39
2026-01-19T18:54:13.928245+01:00	30	46041,78765	Po	18	18:54
2026-01-19T19:21:31.679971+01:00	27	46041,80661	Po	19	19:21
2026-01-19T19:52:07.588027+01:00	29	46041,82786	Po	19	19:52
2026-01-19T20:10:43.218163+01:00	28	46041,84078	Po	20	20:10
2026-01-19T20:29:41.160697+01:00	17	46041,85395	Po	20	20:29
2026-01-19T20:42:53.772874+01:00	14	46041,86311	Po	20	20:42
2026-01-19T20:51:50.203509+01:00	7	46041,86933	Po	20	20:51
2026-01-19T21:00:00.285446+01:00	6	46041,875	Po	21	21:00
2026-01-20T08:23:34.373200+01:00	0	46042,3497	Út	8	08:23
2026-01-20T08:58:21.033756+01:00	0	46042,37385	Út	8	08:58
2026-01-20T09:37:27.981840+01:00	9	46042,40101	Út	9	09:37
2026-01-20T10:02:45.500951+01:00	12	46042,41858	Út	10	10:02
2026-01-20T10:42:53.797232+01:00	12	46042,44645	Út	10	10:42
2026-01-20T10:59:38.327486+01:00	11	46042,45808	Út	10	10:59
2026-01-20T11:36:07.126755+01:00	13	46042,48341	Út	11	11:36
2026-01-20T11:58:12.291359+01:00	14	46042,49875	Út	11	11:58
2026-01-20T12:26:45.729991+01:00	17	46042,51858	Út	12	12:26
2026-01-20T12:44:57.021457+01:00	16	46042,53122	Út	12	12:44
2026-01-20T12:56:18.085453+01:00	14	46042,5391	Út	12	12:56
2026-01-20T13:45:10.015828+01:00	11	46042,57303	Út	13	13:45
2026-01-20T14:35:23.519859+01:00	11	46042,60791	Út	14	14:35
2026-01-20T15:04:03.037361+01:00	20	46042,62781	Út	15	15:04
2026-01-20T15:45:39.964714+01:00	16	46042,6567	Út	15	15:45
2026-01-20T16:15:45.099641+01:00	19	46042,6776	Út	16	16:15
2026-01-20T16:48:47.659549+01:00	26	46042,70054	Út	16	16:48
2026-01-20T17:17:36.564836+01:00	28	46042,72056	Út	17	17:17
2026-01-20T17:57:22.144246+01:00	30	46042,74817	Út	17	17:57
2026-01-20T18:30:54.833828+01:00	30	46042,77146	Út	18	18:30
2026-01-20T18:56:14.281665+01:00	30	46042,78905	Út	18	18:56
2026-01-20T19:32:12.052417+01:00	28	46042,81403	Út	19	19:32
2026-01-20T20:48:13.555295+01:00	9	46042,86682	Út	20	20:48
2026-01-20T21:35:14.505385+01:00	0	46042,89947	Út	21	21:35
2026-01-21T08:23:52.714426+01:00	0	46043,34991	St	8	08:23
2026-01-21T08:47:22.688486+01:00	0	46043,36623	St	8	08:47
2026-01-21T08:58:57.950449+01:00	0	46043,37427	St	8	08:58
2026-01-21T09:38:18.967299+01:00	12	46043,4016	St	9	09:38
2026-01-21T10:01:24.737344+01:00	14	46043,41764	St	10	10:01
2026-01-21T10:41:35.419331+01:00	16	46043,44554	St	10	10:41
2026-01-21T10:59:37.093319+01:00	17	46043,45807	St	10	10:59
2026-01-21T11:37:43.151000+01:00	17	46043,48453	St	11	11:37
2026-01-21T11:59:33.927577+01:00	14	46043,49969	St	11	11:59
2026-01-21T12:30:21.730842+01:00	21	46043,52108	St	12	12:30
2026-01-21T12:48:22.420975+01:00	19	46043,53359	St	12	12:48
